id_municipio,uf,municipio,longitude,latitude
1827,MG,Minduri,-44.605096,-21.679714
1828,MG,Mirabela,-44.160208,-16.256022
1829,MG,Miradouro,-42.345837,-20.889946
1831,MG,Miravânia,-44.409243,-14.734772
1830,MG,Miraí,-42.612209,-21.20214
1832,MG,Moeda,-44.050947,-20.339868
1833,MG,Moema,-45.412687,-19.838731
1834,MG,Monjolos,-44.117976,-18.324472
1835,MG,Monsenhor Paulo,-45.539055,-21.757885
1836,MG,Montalvânia,-44.371881,-14.419689
1837,MG,Monte Alegre de Minas,-48.881023,-18.869048
1838,MG,Monte Azul,-42.871768,-15.151362
1839,MG,Monte Belo,-46.363462,-21.327084
1840,MG,Monte Carmelo,-47.491228,-18.730245
1841,MG,Monte Formoso,-41.247306,-16.869145
1842,MG,Monte Santo de Minas,-46.975314,-21.18731
1844,MG,Monte Sião,-46.57298,-22.433538
1843,MG,Montes Claros,-43.857809,-16.728177
1845,MG,Montezuma,-42.494074,-15.170233
1846,MG,Morada Nova de Minas,-45.358403,-18.599774
1847,MG,Morro da Garça,-44.601043,-18.53559
1848,MG,Morro do Pilar,-43.379465,-19.223625
1849,MG,Munhoz,-46.36197,-22.609172
1850,MG,Muriaé,-42.369304,-21.129965
1851,MG,Mutum,-41.440689,-19.812099
1852,MG,Muzambinho,-46.5213,-21.369155
1805,MG,Mário Campos,-44.188324,-20.058155
1853,MG,Nacip Raydan,-42.248121,-18.454436
1854,MG,Nanuque,-40.353287,-17.848111
1855,MG,Naque,-42.33119,-19.229132
1856,MG,Natalândia,-46.487365,-16.50215
1857,MG,Natércia,-45.512284,-22.115754
1858,MG,Nazareno,-44.6138,-21.216779
1859,MG,Nepomuceno,-45.234956,-21.232415
1860,MG,Ninheira,-41.756367,-15.314771
1861,MG,Nova Belém,-41.11067,-18.492517
1862,MG,Nova Era,-43.033267,-19.757738
1863,MG,Nova Lima,-43.850854,-19.975763
1864,MG,Nova Módica,-41.498365,-18.441693
1865,MG,Nova Ponte,-47.677947,-19.146096
1866,MG,Nova Porteirinha,-43.294148,-15.799291
1867,MG,Nova Resende,-46.415732,-21.128612
1868,MG,Nova Serrana,-44.984661,-19.871299
1869,MG,Nova União,-43.583048,-19.687584
1870,MG,Novo Cruzeiro,-41.882633,-17.465438
1871,MG,Novo Oriente de Minas,-41.219361,-17.408932
1872,MG,Novorizonte,-42.404433,-16.016214
1873,MG,Olaria,-43.935558,-21.859789
1874,MG,Olhos-d`Água,-43.570453,-17.395912
1876,MG,Oliveira,-44.829037,-20.698218
1877,MG,Oliveira Fortes,-43.449893,-21.340054
1875,MG,Olímpio Noronha,-45.265726,-22.068548
1878,MG,Onça de Pitangui,-44.805771,-19.727551
1879,MG,Oratórios,-42.797698,-20.429758
1880,MG,Orizânia,-42.199124,-20.514162
1881,MG,Ouro Branco,-43.696217,-20.52629
1882,MG,Ouro Fino,-46.371599,-22.277868
1883,MG,Ouro Preto,-43.512045,-20.37957
1884,MG,Ouro Verde de Minas,-41.273412,-18.071923
1885,MG,Padre Carvalho,-42.508759,-16.364644
1886,MG,Padre Paraíso,-41.482053,-17.075789
1889,MG,Pai Pedro,-43.070006,-15.527099
1887,MG,Paineiras,-45.532064,-18.899345
1888,MG,Pains,-45.662685,-20.370467
1890,MG,Paiva,-43.408756,-21.291287
1891,MG,Palma,-42.312285,-21.374776
1892,MG,Palmópolis,-40.429609,-16.736375
